Borough,Site Location,Latitude,Longitude,Location Point,DSNY District,DSNY Zone,BinType
Brooklyn,461 Williams Avenue,40.66481607,-73.89751893,POINT (-73.89751893 40.66481607),BKN05,BKN,FoodScrap
Bronx,,40.84622162,-73.88896354,POINT (-73.88896354 40.84622162),BX06,BX,FoodScrap
Manhattan,,40.81762957,-73.95314779,POINT (-73.95314779 40.81762957),MN09,MN,FoodScrap
Manhattan,,40.77970216,-73.98189624,POINT (-73.98189624 40.77970216),MN07,MN,FoodScrap
Manhattan,,40.80957427,-73.93987723,POINT (-73.93987723 40.80957427),MN11,MN,FoodScrap
Brooklyn,,40.67645433,-73.94148588,POINT (-73.94148588 40.67645433),BKN08,BKN,FoodScrap
Queens,Metropolitan Ave & Audley St,40.707626,-73.836079,POINT (-73.836079 40.707626),QW09,QW,FoodScrap
Queens,"107-31 Inwood St, Queens, NY 11435",40.69056,-73.80395,POINT (-73.80395 40.69056),QE12,QE,FoodScrap
Bronx,"541 E 139th St, Bronx, NY 10454",40.80811,-73.91752,POINT (-73.91752 40.80811),BX01,BX,FoodScrap
Queens,,40.76524333,-73.92510952,POINT (-73.92510952 40.76524333),QW01,QW,FoodScrap
Manhattan,"397 FDR Dr, New York, NY 10002 (Southeast corner of Cherry Street and Jackson Street)",40.712164,-73.980547,POINT (-73.980547 40.712164),MN03,MN,FoodScrap
Bronx,,40.85693035,-73.89822654,POINT (-73.89822654 40.85693035),BX05,BX,FoodScrap
Brooklyn,Nostrand Ave & Crown St,40.666485,-73.950935,POINT (-73.950935 40.666485),BKN09,BKN,FoodScrap
Staten Island,"97 Myrtle Avenue, Staten Island, NY",40.63034,-74.11616,POINT (-74.11616 40.63034),SI01,SI,FoodScrap
Manhattan,,40.74339417,-73.98831241,POINT (-73.98831241 40.74339417),MN05,MN,FoodScrap
Manhattan,Park Pier 96 Boathouse at W 55 St,40.771,-73.995372,POINT (-73.995372 40.771),MN04,MN,FoodScrap
Brooklyn,,40.67487312,-73.96038702,POINT (-73.96038702 40.67487312),BKN08,BKN,FoodScrap
Brooklyn,,40.6874973,-73.92091434,POINT (-73.92091434 40.6874973),BKN03,BKN,FoodScrap
Manhattan,,40.75280254,-73.9969215,POINT (-73.9969215 40.75280254),MN04,MN,FoodScrap
Brooklyn,,40.69725935,-73.91542856,POINT (-73.91542856 40.69725935),BKN04,BKN,FoodScrap
Manhattan,,40.76858111,-73.96168752,POINT (-73.96168752 40.76858111),MN08,MN,FoodScrap
Staten Island,1 Clyde Place,40.63990101,-74.09028654,POINT (-74.09028654 40.63990101),SI01,SI,FoodScrap
Manhattan,,40.71640611,-74.01097454,POINT (-74.01097454 40.71640611),MN01,MN,FoodScrap
Manhattan,,40.76586365,-73.94630834,POINT (-73.94630834 40.76586365),MN08,MN,FoodScrap
Bronx,,40.82775765,-73.81831449,POINT (-73.81831449 40.82775765),BX10,BX,FoodScrap
Brooklyn,"1194 Prospect Ave, Brooklyn, NY 11218",40.654139,-73.976444,POINT (-73.976444 40.654139),BKS07,BKS,FoodScrap
Manhattan,,40.74652449,-74.0051919,POINT (-74.0051919 40.74652449),MN04,MN,FoodScrap
Manhattan,"East side of Rutgers St b/w East Broadway & Canal St, on the west side of Straus Sq",40.714243,-73.990163,POINT (-73.990163 40.714243),MN03,MN,FoodScrap
Manhattan,"1574 Lexington Ave, New York, NY 10029",40.78895766,-73.94920119,POINT (-73.94920119 40.78895766),MN11,MN,FoodScrap
Manhattan,,40.7249628,-73.99017938,POINT (-73.99017938 40.7249628),MN03,MN,FoodScrap
Brooklyn,,40.67785104,-73.96890208,POINT (-73.96890208 40.67785104),BKN08,BKN,FoodScrap
Manhattan,,40.73149652,-73.99051628,POINT (-73.99051628 40.73149652),MN02,MN,FoodScrap
Brooklyn,,40.67509191,-73.95637851,POINT (-73.95637851 40.67509191),BKN08,BKN,FoodScrap
Brooklyn,,40.67495664,-73.92772514,POINT (-73.92772514 40.67495664),BKN08,BKN,FoodScrap
Queens,"Pearson Pl & Skillman Ave, Queens, NY 11101",40.7432328,-73.9431336,POINT (-73.9431336 40.7432328),QW02,QW,FoodScrap
Manhattan,,40.78907737,-73.97608351,POINT (-73.97608351 40.78907737),MN07,MN,FoodScrap
Manhattan,,40.77142731,-73.95631212,POINT (-73.95631212 40.77142731),MN08,MN,FoodScrap
Manhattan,,40.80237734,-73.94273579,POINT (-73.94273579 40.80237734),MN11,MN,FoodScrap
Queens,"72-02 Woodside Ave, Woodside, NY 11377",40.7427093,-73.892547,POINT (-73.892547 40.7427093),QW02,QW,FoodScrap
Brooklyn,"341 Ashford St, Brooklyn, NY 11207",40.674065,-73.885109,POINT (-73.885109 40.674065),BKN05,BKN,FoodScrap
Brooklyn,,40.67155276,-73.93360522,POINT (-73.93360522 40.67155276),BKN08,BKN,FoodScrap
Manhattan,,40.82625676,-73.93855724,POINT (-73.93855724 40.82625676),MN10,MN,FoodScrap
Manhattan,,40.78596764,-73.9786452,POINT (-73.9786452 40.78596764),MN07,MN,FoodScrap
Bronx,McKinley Square at 169th St & Boston Rd,40.831187,-73.900567,POINT (-73.900567 40.831187),BX03,BX,FoodScrap
Brooklyn,"1097 Dean St, Brooklyn, NY 11216",40.67744,-73.953657,POINT (-73.953657 40.67744),BKN08,BKN,FoodScrap
Manhattan,,40.77228183,-73.95896669,POINT (-73.95896669 40.77228183),MN08,MN,FoodScrap
Staten Island,,40.62262016,-74.14456081,POINT (-74.14456081 40.62262016),SI01,SI,FoodScrap
Queens,,40.76833214,-73.92911855,POINT (-73.92911855 40.76833214),QW01,QW,FoodScrap
Manhattan,,40.72376127,-73.98540061,POINT (-73.98540061 40.72376127),MN03,MN,FoodScrap
Manhattan,,40.74644185,-73.99747697,POINT (-73.99747697 40.74644185),MN04,MN,FoodScrap
Manhattan,"West 4th Street b/w Christopher St and Grove St., west side of Christopher Park",40.733536,-74.002663,POINT (-74.002663 40.733536),MN02,MN,FoodScrap
Bronx,,40.85865876,-73.88819441,POINT (-73.88819441 40.85865876),BX06,BX,FoodScrap
Manhattan,,40.73674344,-73.98908567,POINT (-73.98908567 40.73674344),MN05,MN,FoodScrap
